,seq_id,hubway_id,status,duration,start_date,strt_statn,end_date,end_statn,bike_nr,subsc_type,zip_code,birth_date,gender,age,check_out_hour,g1,g2,g3
133,192,227,Closed,688.0,7/28/2011 17:05:00,48.0,7/28/2011 17:16:00,24.0,B00150,1,'02143,1981.0,1,30.0,17,0.0,1.0,0.0
134,193,229,Closed,856.0,7/28/2011 17:06:00,10.0,7/28/2011 17:20:00,8.0,B00310,1,'02135,1966.0,0,45.0,17,1.0,0.0,0.0
135,194,231,Closed,102.0,7/28/2011 17:10:00,49.0,7/28/2011 17:11:00,49.0,B00137,1,'01890,1978.0,1,33.0,17,0.0,1.0,0.0
136,195,232,Closed,1299.0,7/28/2011 17:10:00,23.0,7/28/2011 17:32:00,33.0,B00469,1,'02446,1971.0,1,40.0,17,0.0,1.0,0.0
137,198,235,Closed,1443.0,7/28/2011 17:12:00,35.0,7/28/2011 17:36:00,33.0,B00215,1,'02115,1988.0,1,23.0,17,0.0,1.0,0.0
138,199,236,Closed,723.0,7/28/2011 17:13:00,49.0,7/28/2011 17:25:00,38.0,B00137,1,'01890,1978.0,1,33.0,17,0.0,1.0,0.0
139,200,237,Closed,758.0,7/28/2011 17:13:00,39.0,7/28/2011 17:25:00,22.0,B00040,1,'02143,1981.0,1,30.0,17,0.0,1.0,0.0
140,202,239,Closed,526.0,7/28/2011 17:15:00,6.0,7/28/2011 17:23:00,44.0,B00111,1,'02114,1970.0,1,41.0,17,0.0,1.0,0.0
141,205,242,Closed,536.0,7/28/2011 17:18:00,34.0,7/28/2011 17:27:00,36.0,B00279,1,'02143,1969.0,1,42.0,17,0.0,1.0,0.0
142,207,244,Closed,909.0,7/28/2011 17:20:00,32.0,7/28/2011 17:35:00,27.0,B00189,1,'02131,1967.0,1,44.0,17,0.0,1.0,0.0
143,212,249,Closed,690.0,7/28/2011 17:28:00,3.0,7/28/2011 17:39:00,12.0,B00463,1,'02131,1953.0,1,58.0,17,0.0,1.0,0.0
144,217,256,Closed,762.0,7/28/2011 17:34:00,25.0,7/28/2011 17:47:00,42.0,B00340,1,'02118,1959.0,0,52.0,17,1.0,0.0,0.0
145,218,257,Closed,347.0,7/28/2011 17:36:00,35.0,7/28/2011 17:41:00,22.0,B00032,1,'02474,1977.0,1,34.0,17,0.0,1.0,0.0
146,219,258,Closed,324.0,7/28/2011 17:36:00,35.0,7/28/2011 17:41:00,22.0,B00076,1,'02474,1980.0,0,31.0,17,1.0,0.0,0.0
147,222,262,Closed,900.0,7/28/2011 17:40:00,23.0,7/28/2011 17:55:00,25.0,B00407,1,'02118,1978.0,0,33.0,17,1.0,0.0,0.0
148,224,264,Closed,577.0,7/28/2011 17:40:00,33.0,7/28/2011 17:50:00,41.0,B00215,1,'02115,1988.0,1,23.0,17,0.0,1.0,0.0
149,227,267,Closed,1161.0,7/28/2011 17:43:00,41.0,7/28/2011 18:02:00,36.0,B00528,1,'02134,1980.0,1,31.0,17,0.0,1.0,0.0
150,230,270,Closed,756.0,7/28/2011 17:47:00,36.0,7/28/2011 18:00:00,39.0,B00279,1,'02118,1971.0,1,40.0,17,0.0,1.0,0.0
151,233,273,Closed,656.0,7/28/2011 17:50:00,38.0,7/28/2011 18:01:00,22.0,B00474,1,'02186,1974.0,1,37.0,17,0.0,1.0,0.0
152,237,277,Closed,34.0,7/28/2011 17:54:00,17.0,7/28/2011 17:55:00,17.0,B00236,1,'02163,1986.0,1,25.0,17,0.0,1.0,0.0
153,239,280,Closed,1097.0,7/28/2011 17:57:00,22.0,7/28/2011 18:16:00,25.0,B00040,1,'02118,1978.0,0,33.0,17,1.0,0.0,0.0
154,240,281,Closed,1113.0,7/28/2011 17:57:00,22.0,7/28/2011 18:16:00,25.0,B00298,1,'02118,1979.0,0,32.0,17,1.0,0.0,0.0
155,248,290,Closed,952.0,7/28/2011 18:04:00,36.0,7/28/2011 18:20:00,27.0,B00353,1,'02130,1984.0,1,27.0,18,0.0,1.0,0.0
156,249,292,Closed,787.0,7/28/2011 18:08:00,36.0,7/28/2011 18:21:00,36.0,B00528,1,'02116,1987.0,1,24.0,18,0.0,1.0,0.0
157,256,300,Closed,1265.0,7/28/2011 18:18:00,25.0,7/28/2011 18:40:00,25.0,B00298,1,'02118,1981.0,1,30.0,18,0.0,1.0,0.0
158,257,301,Closed,835.0,7/28/2011 18:19:00,36.0,7/28/2011 18:33:00,9.0,B00390,1,'02116,1983.0,1,28.0,18,0.0,1.0,0.0
159,258,302,Closed,784.0,7/28/2011 18:20:00,36.0,7/28/2011 18:33:00,9.0,B00198,1,'02116,1981.0,0,30.0,18,1.0,0.0,0.0
160,260,304,Closed,1490.0,7/28/2011 18:22:00,38.0,7/28/2011 18:47:00,32.0,B00131,1,'02130,1975.0,1,36.0,18,0.0,1.0,0.0
161,262,306,Closed,1028.0,7/28/2011 18:24:00,16.0,7/28/2011 18:42:00,22.0,B00562,1,'02127,1968.0,1,43.0,18,0.0,1.0,0.0
162,264,308,Closed,1955.0,7/28/2011 18:29:00,3.0,7/28/2011 19:02:00,22.0,B00071,1,'02118,1967.0,1,44.0,18,0.0,1.0,0.0
163,265,309,Closed,267.0,7/28/2011 18:32:00,46.0,7/28/2011 18:36:00,46.0,B00215,1,'02118,1989.0,1,22.0,18,0.0,1.0,0.0
